Mm	Mock	SeV_0.1	SeV_1.0	SeV_10	HSV1_0.1	HSV1_1.0	HSV1_10
IFNB1	0.00152	0.00215	0.00316	0.01918	0.00177	0.0062	0.00407
EIF2AK2	0.07414	0.23286	0.59362	0.44944	0.55706	0.42013	0.33965
DDX58	0.06394	0.19888	0.75511	0.51818	0.66921	0.47534	0.46311
IL1B	0.00777	0.01295	0.01496	0.00812	0.01313	0.00542	0.01128
IL6	8E-05	4E-05	0.00035	0.00026	0.00017	0.00025	0.00017
SeV_P	NA	0.13683	1.26912	11.57788	NA	NA	NA
SeV_N	NA	0.12832	0.85808	8.24489	NA	NA	NA
HSV1_FE_ICP8	NA	NA	NA	NA	0.00019	0.00551	0.03075
HSV1_FL_UL49_VP22	NA	NA	NA	NA	0.0003	0.01622	0.09683
HSV1_F_IE_ICP27	NA	NA	NA	NA	3E-05	0.00238	0.02109
