Human	Mock	SeV_0.1	SeV_1.0	SeV_10	HSV1_0.1	HSV1_1.0	HSV1_10
IFNB1	5E-05	0.00879	0.11687	0.11954	0.02261	0.1154	0.05293
EIF2AK2	0.05054	1.23926	1.4411	1.12173	1.30333	1.64166	1.84179
DDX58	0.09487	2.47905	3.04307	2.25588	2.93507	3.6207	3.79492
IL1B	0.02465	0.00132	0.00459	0.00893	0.00214	0.00464	0.00158
IL6	0.00096	0.00276	0.0061	0.01669	0.00402	0.00998	0.00472
SeV_P	NA	0.43117	2.30597	21.95393	NA	NA	NA
SeV_N	NA	0.39854	1.91363	13.79548	NA	NA	NA
HSV1_FE_ICP8	NA	NA	NA	NA	0.00969	0.0205	0.63994
HSV1_FL_UL49_VP22	NA	NA	NA	NA	0.01282	0.04022	1.44493
HSV1_F_IE_ICP27	NA	NA	NA	NA	0.00446	0.0193	0.43589
